,game_state,next_state,probability
138,1-0-0-1-0-4,1-0-0-0-0-6,0.025792367399741268
139,1-0-0-1-1-3,1-0-0-0-0-6,0.029001883239171376
140,1-0-1-0-0-4,1-0-0-0-0-6,0.033334177022956796
141,1-0-1-0-1-3,1-0-0-0-0-6,0.03262736119061248
142,1-0-1-1-0-3,1-0-0-0-0-6,0.030489564297393478
143,1-0-1-1-1-2,1-0-0-0-0-6,0.029971791255289138
144,1-0-0-0-0-6,1-0-0-0-0-7,0.03243922510620315
145,1-0-0-0-1-5,1-0-0-0-0-7,0.030053034767236298
146,1-0-0-1-0-5,1-0-0-0-0-7,0.025792367399741268
147,1-0-0-1-1-4,1-0-0-0-0-7,0.029001883239171376
148,1-0-1-0-0-5,1-0-0-0-0-7,0.033334177022956796
149,1-0-1-0-1-4,1-0-0-0-0-7,0.03262736119061248
150,1-0-1-1-0-4,1-0-0-0-0-7,0.030489564297393478
151,1-0-1-1-1-3,1-0-0-0-0-7,0.029971791255289138
152,1-0-0-0-0-7,1-0-0-0-0-8,0.03243922510620315
153,1-0-0-0-1-6,1-0-0-0-0-8,0.030053034767236298
154,1-0-0-1-0-6,1-0-0-0-0-8,0.025792367399741268
155,1-0-0-1-1-5,1-0-0-0-0-8,0.029001883239171376
156,1-0-1-0-0-6,1-0-0-0-0-8,0.033334177022956796
157,1-0-1-0-1-5,1-0-0-0-0-8,0.03262736119061248
158,1-0-1-1-0-5,1-0-0-0-0-8,0.030489564297393478
159,1-0-1-1-1-4,1-0-0-0-0-8,0.029971791255289138
160,1-0-0-0-0-8,1-0-0-0-0-9,0.03243922510620315
161,1-0-0-0-1-7,1-0-0-0-0-9,0.030053034767236298
162,1-0-0-1-0-7,1-0-0-0-0-9,0.025792367399741268
163,1-0-0-1-1-6,1-0-0-0-0-9,0.029001883239171376
164,1-0-1-0-0-7,1-0-0-0-0-9,0.033334177022956796
165,1-0-1-0-1-6,1-0-0-0-0-9,0.03262736119061248
166,1-0-1-1-0-6,1-0-0-0-0-9,0.030489564297393478
167,1-0-1-1-1-5,1-0-0-0-0-9,0.029971791255289138
168,1-0-0-0-0-0,1-0-0-0-1-0,0.004431618513823091
169,1-0-0-0-0-1,1-0-0-0-1-1,0.004431618513823091
170,1-0-0-0-1-0,1-0-0-0-1-1,0.00648202710665881
171,1-0-0-1-0-0,1-0-0-0-1-1,0.004204398447606727
172,1-0-1-0-0-0,1-0-0-0-1-1,0.00480903085372953
173,1-0-0-0-0-10,1-0-0-0-1-10,0.004431618513823091
174,1-0-0-0-1-9,1-0-0-0-1-10,0.00648202710665881
175,1-0-0-1-0-9,1-0-0-0-1-10,0.004204398447606727
176,1-0-0-1-1-8,1-0-0-0-1-10,0.004896421845574388
177,1-0-1-0-0-9,1-0-0-0-1-10,0.00480903085372953
